Component Pins:
Owner   Type  Dir         Value  Name
    30  bit   IN          FALSE  axis.y.eoffset-clear
    30  s32   IN              0  axis.y.eoffset-counts
    30  bit   IN          FALSE  axis.y.eoffset-enable
    30  float OUT             0  axis.y.eoffset-request
    30  float IN              0  axis.y.eoffset-scale
    30  float IN              1  axis.y.jog-accel-fraction
    30  s32   IN              0  axis.y.jog-counts
    30  bit   IN          FALSE  axis.y.jog-enable
    30  float IN              0  axis.y.jog-scale
    30  bit   IN          FALSE  axis.y.jog-vel-mode
    30  bit   OUT         FALSE  axis.y.kb-jog-active
    30  float OUT  3.020607e-07  axis.y.pos-cmd
    30  float OUT             0  axis.y.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.y.teleop-tp-enable
    30  float OUT             0  axis.y.teleop-vel-cmd
    30  float OUT             0  axis.y.teleop-vel-lim
    30  bit   OUT         FALSE  axis.y.wheel-jog-active
    30  float OUT             0  axis.z.eoffset
    30  bit   IN          FALSE  axis.z.eoffset-clear
    30  s32   IN              0  axis.z.eoffset-counts
    30  bit   IN          FALSE  axis.z.eoffset-enable
    30  float OUT             0  axis.z.eoffset-request
    30  float IN              0  axis.z.eoffset-scale
    30  float IN              1  axis.z.jog-accel-fraction
    30  s32   IN              0  axis.z.jog-counts
    30  bit   IN          FALSE  axis.z.jog-enable
    30  float IN              0  axis.z.jog-scale
    30  bit   IN          FALSE  axis.z.jog-vel-mode
    30  bit   OUT         FALSE  axis.z.kb-jog-active
    30  float OUT           -55  axis.z.pos-cmd
    30  float OUT             0  axis.z.teleop-pos-cmd
    30  bit   OUT         FALSE  axis.z.teleop-tp-enable
    30  float OUT             0  axis.z.teleop-vel-cmd
    30  float OUT             0  axis.z.teleop-vel-lim
    30  bit   OUT         FALSE  axis.z.wheel-jog-active
    49  bit   OUT         FALSE  axisui.abort
    49  bit   OUT         FALSE  axisui.error
    49  bit   OUT         FALSE  axisui.jog.a
    49  bit   OUT         FALSE  axisui.jog.b
    49  bit   OUT         FALSE  axisui.jog.c
    49  float OUT             0  axisui.jog.increment
    49  bit   OUT         FALSE  axisui.jog.u
    49  bit   OUT         FALSE  axisui.jog.v
    49  bit   OUT         FALSE  axisui.jog.w
    49  bit   OUT         FALSE  axisui.jog.x
    49  bit   OUT         FALSE  axisui.jog.y
    49  bit   OUT         FALSE  axisui.jog.z
    49  bit   IN          FALSE  axisui.notifications-clear
    49  bit   IN          FALSE  axisui.notifications-clear-error
    49  bit   IN          FALSE  axisui.notifications-clear-info
    49  bit   IN          FALSE  axisui.resume-inhibit
    27  float IN              0  genserkins.A-0
    27  float IN              0  genserkins.A-1
    27  float IN            135  genserkins.A-2
    27  float IN             38  genserkins.A-3
    27  float IN              0  genserkins.A-4
    27  float IN              0  genserkins.A-5
    27  float IN              0  genserkins.ALPHA-0
    27  float IN      -1.570796  genserkins.ALPHA-1
    27  float IN              0  genserkins.ALPHA-2
    27  float IN      -1.570796  genserkins.ALPHA-3
    27  float IN       1.570796  genserkins.ALPHA-4
    27  float IN      -1.570796  genserkins.ALPHA-5
    27  float IN            135  genserkins.D-0
    27  float IN              0  genserkins.D-1
    27  float IN              0  genserkins.D-2
    27  float IN            120  genserkins.D-3
    27  float IN              0  genserkins.D-4
    27  float IN             70  genserkins.D-5
    27  u32   OUT    0x00000000  genserkins.last-iterations
    27  u32   IN     0x00000064  genserkins.max-iterations
    27  s32   IN              0  genserkins.unrotate-0
    27  s32   IN              0  genserkins.unrotate-1
    27  s32   IN              0  genserkins.unrotate-2
    27  s32   IN              0  genserkins.unrotate-3
    27  s32   IN              0  genserkins.unrotate-4
    27  s32   IN              0  genserkins.unrotate-5
    47  float IN              0  ini.0.backlash
    47  float IN            0.5  ini.0.ferror
    47  float IN              0  ini.0.home
    47  float IN              0  ini.0.home_offset
    47  s32   IN              0  ini.0.home_sequence
    47  float IN             10  ini.0.max_acceleration
    47  float IN            175  ini.0.max_limit
    47  float IN             10  ini.0.max_velocity
    47  float IN            0.5  ini.0.min_ferror
    47  float IN           -175  ini.0.min_limit
    47  float IN              0  ini.1.backlash
    47  float IN            0.5  ini.1.ferror
    47  float IN              0  ini.1.home
    47  float IN              0  ini.1.home_offset
    47  s32   IN              0  ini.1.home_sequence
    47  float IN             10  ini.1.max_acceleration
    47  float IN             90  ini.1.max_limit
    47  float IN             10  ini.1.max_velocity
    47  float IN            0.5  ini.1.min_ferror
    47  float IN            -70  ini.1.min_limit
    47  float IN              0  ini.2.backlash
    47  float IN            0.5  ini.2.ferror
    47  float IN              0  ini.2.home
    47  float IN              0  ini.2.home_offset
    47  s32   IN              0  ini.2.home_sequence
    47  float IN             10  ini.2.max_acceleration
    47  float IN             70  ini.2.max_limit
    47  float IN             10  ini.2.max_velocity
    47  float IN            0.5  ini.2.min_ferror
    47  float IN           -135  ini.2.min_limit
    47  float IN              0  ini.3.backlash
    47  float IN            0.5  ini.3.ferror
    47  float IN              0  ini.3.home
    47  float IN              0  ini.3.home_offset
    47  s32   IN              0  ini.3.home_sequence
    47  float IN             10  ini.3.max_acceleration
    47  float IN            170  ini.3.max_limit
    47  float IN             10  ini.3.max_velocity
    47  float IN            0.5  ini.3.min_ferror
    47  float IN           -170  ini.3.min_limit
    47  float IN              0  ini.4.backlash
    47  float IN            0.5  ini.4.ferror
    47  float IN              0  ini.4.home
    47  float IN              0  ini.4.home_offset
    47  s32   IN              0  ini.4.home_sequence
    47  float IN             10  ini.4.max_acceleration
    47  float IN            115  ini.4.max_limit
    47  float IN             10  ini.4.max_velocity
    47  float IN            0.5  ini.4.min_ferror
    47  float IN           -115  ini.4.min_limit
    47  float IN              0  ini.5.backlash
    47  float IN            0.5  ini.5.ferror
    47  float IN              0  ini.5.home
    47  float IN              0  ini.5.home_offset
    47  s32   IN              0  ini.5.home_sequence
    47  float IN             10  ini.5.max_acceleration
    47  float IN          36000  ini.5.max_limit
    47  float IN             10  ini.5.max_velocity
    47  float IN            0.5  ini.5.min_ferror
    47  float IN         -36000  ini.5.min_limit
    47  float IN            100  ini.a.max_acceleration
    47  float IN            300  ini.a.max_limit
    47  float IN             10  ini.a.max_velocity
    47  float IN           -300  ini.a.min_limit
    47  float IN            100  ini.b.max_acceleration
    47  float IN            300  ini.b.max_limit
    47  float IN             10  ini.b.max_velocity
    47  float IN           -300  ini.b.min_limit
    47  float IN            100  ini.c.max_acceleration
    47  float IN            300  ini.c.max_limit
    47  float IN             10  ini.c.max_velocity
    47  float IN           -300  ini.c.min_limit
    47  bit   IN           TRUE  ini.traj_arc_blend_enable
    47  bit   IN          FALSE  ini.traj_arc_blend_fallback_enable
    47  float IN              4  ini.traj_arc_blend_gap_cycles
    47  s32   IN             50  ini.traj_arc_blend_optimization_depth
    47  float IN            100  ini.traj_arc_blend_ramp_freq
    47  float IN            0.1  ini.traj_arc_blend_tangent_kink_ratio
    47  float IN             10  ini.traj_default_acceleration
    47  float IN              1  ini.traj_default_velocity
    47  float IN             20  ini.traj_max_acceleration
    47  float IN             10  ini.traj_max_velocity
    47  float IN              0  ini.u.max_acceleration
    47  float IN              0  ini.u.max_limit
    47  float IN              0  ini.u.max_velocity
    47  float IN              0  ini.u.min_limit
    47  float IN              0  ini.v.max_acceleration
    47  float IN              0  ini.v.max_limit
    47  float IN              0  ini.v.max_velocity
    47  float IN              0  ini.v.min_limit
    47  float IN              0  ini.w.max_acceleration
    47  float IN              0  ini.w.max_limit
    47  float IN              0  ini.w.max_velocity
    47  float IN              0  ini.w.min_limit
    47  float IN            100  ini.x.max_acceleration
    47  float IN            300  ini.x.max_limit
    47  float IN             10  ini.x.max_velocity
    47  float IN           -300  ini.x.min_limit
    47  float IN            100  ini.y.max_acceleration
    47  float IN            300  ini.y.max_limit
    47  float IN             10  ini.y.max_velocity
    47  float IN           -300  ini.y.min_limit
    47  float IN            100  ini.z.max_acceleration
    47  float IN            300  ini.z.max_limit
    47  float IN             10  ini.z.max_velocity
    47  float IN           -300  ini.z.min_limit
     4  bit   OUT         FALSE  iocontrol.0.coolant-flood
     4  bit   OUT         FALSE  iocontrol.0.coolant-mist
     4  bit   IN          FALSE  iocontrol.0.emc-enable-in <== estop-loop
     4  bit   OUT         FALSE  iocontrol.0.lube
     4  bit   IN          FALSE  iocontrol.0.lube_level
     4  bit   OUT         FALSE  iocontrol.0.tool-change ==> tool-change-loop
     4  bit   IN          FALSE  iocontrol.0.tool-changed <== tool-change-loop
     4  s32   OUT             0  iocontrol.0.tool-number
     4  s32   OUT             0  iocontrol.0.tool-prep-index
     4  s32   OUT             0  iocontrol.0.tool-prep-number
     4  s32   OUT             0  iocontrol.0.tool-prep-pocket
     4  bit   OUT         FALSE  iocontrol.0.tool-prepare ==> tool-prep-loop
     4  bit   IN          FALSE  iocontrol.0.tool-prepared <== tool-prep-loop
     4  bit   OUT         FALSE  iocontrol.0.user-enable-out ==> estop-loop
     4  bit   OUT         FALSE  iocontrol.0.user-request-enable
    30  float OUT             0  joint.0.acc-cmd
    30  bit   OUT          TRUE  joint.0.active
    30  bit   OUT         FALSE  joint.0.amp-enable-out ==> a1-enable
    30  bit   IN          FALSE  joint.0.amp-fault-in
    30  float OUT             0  joint.0.backlash-corr
    30  float OUT             0  joint.0.backlash-filt
    30  float OUT             0  joint.0.backlash-vel
    30  float OUT             0  joint.0.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.0.error
    30  float OUT             0  joint.0.f-error
    30  float OUT           0.5  joint.0.f-error-lim
    30  bit   OUT         FALSE  joint.0.f-errored
    30  bit   OUT         FALSE  joint.0.faulted
    30  float OUT             0  joint.0.free-pos-cmd
    30  bit   OUT         FALSE  joint.0.free-tp-enable
    30  float OUT             0  joint.0.free-vel-lim
    30  s32   OUT             0  joint.0.home-state
    30  bit   IN          FALSE  joint.0.home-sw-in
    30  bit   OUT         FALSE  joint.0.homed
    30  bit   OUT         FALSE  joint.0.homing
    30  bit   OUT          TRUE  joint.0.in-position
    30  bit   I/O         FALSE  joint.0.index-enable <=> a1-index-enable
    30  float IN              1  joint.0.jog-accel-fraction
    30  s32   IN              0  joint.0.jog-counts
    30  bit   IN          FALSE  joint.0.jog-enable
    30  float IN              0  joint.0.jog-scale
    30  bit   IN          FALSE  joint.0.jog-vel-mode
    30  bit   OUT         FALSE  joint.0.kb-jog-active
    30  float OUT             0  joint.0.motor-offset
    30  float OUT      20.90767  joint.0.motor-pos-cmd ==> a1-pos-cmd
    30  float IN       20.90767  joint.0.motor-pos-fb <== a1-pos-fb
    30  bit   OUT         FALSE  joint.0.neg-hard-limit
    30  bit   IN          FALSE  joint.0.neg-lim-sw-in
    30  float OUT      20.90767  joint.0.pos-cmd
    30  float OUT      20.90767  joint.0.pos-fb
    30  bit   OUT         FALSE  joint.0.pos-hard-limit
    30  bit   IN          FALSE  joint.0.pos-lim-sw-in
    30  float OUT             0  joint.0.vel-cmd ==> a1-vel-cmd
    30  bit   OUT         FALSE  joint.0.wheel-jog-active
    30  float OUT             0  joint.1.acc-cmd
    30  bit   OUT          TRUE  joint.1.active
    30  bit   OUT         FALSE  joint.1.amp-enable-out ==> a2-enable
    30  bit   IN          FALSE  joint.1.amp-fault-in
    30  float OUT             0  joint.1.backlash-corr
    30  float OUT             0  joint.1.backlash-filt
    30  float OUT             0  joint.1.backlash-vel
    30  float OUT             0  joint.1.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.1.error
    30  float OUT             0  joint.1.f-error
    30  float OUT           0.5  joint.1.f-error-lim
    30  bit   OUT         FALSE  joint.1.f-errored
    30  bit   OUT         FALSE  joint.1.faulted
    30  float OUT             0  joint.1.free-pos-cmd
    30  bit   OUT         FALSE  joint.1.free-tp-enable
    30  float OUT             0  joint.1.free-vel-lim
    30  s32   OUT             0  joint.1.home-state
    30  bit   IN          FALSE  joint.1.home-sw-in
    30  bit   OUT         FALSE  joint.1.homed
    30  bit   OUT         FALSE  joint.1.homing
    30  bit   OUT          TRUE  joint.1.in-position
    30  bit   I/O         FALSE  joint.1.index-enable <=> a2-index-enable
    30  float IN              1  joint.1.jog-accel-fraction
    30  s32   IN              0  joint.1.jog-counts
    30  bit   IN          FALSE  joint.1.jog-enable
    30  float IN              0  joint.1.jog-scale
    30  bit   IN          FALSE  joint.1.jog-vel-mode
    30  bit   OUT         FALSE  joint.1.kb-jog-active
    30  float OUT             0  joint.1.motor-offset
    30  float OUT       49.3575  joint.1.motor-pos-cmd ==> a2-pos-cmd
    30  float IN        49.3575  joint.1.motor-pos-fb <== a2-pos-fb
    30  bit   OUT         FALSE  joint.1.neg-hard-limit
    30  bit   IN          FALSE  joint.1.neg-lim-sw-in
    30  float OUT       49.3575  joint.1.pos-cmd
    30  float OUT       49.3575  joint.1.pos-fb
    30  bit   OUT         FALSE  joint.1.pos-hard-limit
    30  bit   IN          FALSE  joint.1.pos-lim-sw-in
    30  float OUT             0  joint.1.vel-cmd ==> a2-vel-cmd
    30  bit   OUT         FALSE  joint.1.wheel-jog-active
    30  float OUT             0  joint.2.acc-cmd
    30  bit   OUT          TRUE  joint.2.active
    30  bit   OUT         FALSE  joint.2.amp-enable-out ==> a3-enable
    30  bit   IN          FALSE  joint.2.amp-fault-in
    30  float OUT             0  joint.2.backlash-corr
    30  float OUT             0  joint.2.backlash-filt
    30  float OUT             0  joint.2.backlash-vel
    30  float OUT             0  joint.2.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.2.error
    30  float OUT             0  joint.2.f-error
    30  float OUT           0.5  joint.2.f-error-lim
    30  bit   OUT         FALSE  joint.2.f-errored
    30  bit   OUT         FALSE  joint.2.faulted
    30  float OUT             0  joint.2.free-pos-cmd
    30  bit   OUT         FALSE  joint.2.free-tp-enable
    30  float OUT             0  joint.2.free-vel-lim
    30  s32   OUT             0  joint.2.home-state
    30  bit   IN          FALSE  joint.2.home-sw-in
    30  bit   OUT         FALSE  joint.2.homed
    30  bit   OUT         FALSE  joint.2.homing
    30  bit   OUT          TRUE  joint.2.in-position
    30  bit   I/O         FALSE  joint.2.index-enable <=> a3-index-enable
    30  float IN              1  joint.2.jog-accel-fraction
    30  s32   IN              0  joint.2.jog-counts
    30  bit   IN          FALSE  joint.2.jog-enable
    30  float IN              0  joint.2.jog-scale
    30  bit   IN          FALSE  joint.2.jog-vel-mode
    30  bit   OUT         FALSE  joint.2.kb-jog-active
    30  float OUT             0  joint.2.motor-offset
    30  float OUT      18.08017  joint.2.motor-pos-cmd ==> a3-pos-cmd
    30  float IN       18.08017  joint.2.motor-pos-fb <== a3-pos-fb
    30  bit   OUT         FALSE  joint.2.neg-hard-limit
    30  bit   IN          FALSE  joint.2.neg-lim-sw-in
    30  float OUT      18.08017  joint.2.pos-cmd
    30  float OUT      18.08017  joint.2.pos-fb
    30  bit   OUT         FALSE  joint.2.pos-hard-limit
    30  bit   IN          FALSE  joint.2.pos-lim-sw-in
    30  float OUT             0  joint.2.vel-cmd ==> a3-vel-cmd
    30  bit   OUT         FALSE  joint.2.wheel-jog-active
    30  float OUT             0  joint.3.acc-cmd
    30  bit   OUT          TRUE  joint.3.active
    30  bit   OUT         FALSE  joint.3.amp-enable-out ==> a4-enable
    30  bit   IN          FALSE  joint.3.amp-fault-in
    30  float OUT             0  joint.3.backlash-corr
    30  float OUT             0  joint.3.backlash-filt
    30  float OUT             0  joint.3.backlash-vel
    30  float OUT             0  joint.3.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.3.error
    30  float OUT             0  joint.3.f-error
    30  float OUT           0.5  joint.3.f-error-lim
    30  bit   OUT         FALSE  joint.3.f-errored
    30  bit   OUT         FALSE  joint.3.faulted
    30  float OUT             0  joint.3.free-pos-cmd
    30  bit   OUT         FALSE  joint.3.free-tp-enable
    30  float OUT             0  joint.3.free-vel-lim
    30  s32   OUT             0  joint.3.home-state
    30  bit   IN          FALSE  joint.3.home-sw-in
    30  bit   OUT         FALSE  joint.3.homed
    30  bit   OUT         FALSE  joint.3.homing
    30  bit   OUT          TRUE  joint.3.in-position
    30  bit   I/O         FALSE  joint.3.index-enable <=> a4-index-enable
    30  float IN              1  joint.3.jog-accel-fraction
    30  s32   IN              0  joint.3.jog-counts
    30  bit   IN          FALSE  joint.3.jog-enable
    30  float IN              0  joint.3.jog-scale
    30  bit   IN          FALSE  joint.3.jog-vel-mode
    30  bit   OUT         FALSE  joint.3.kb-jog-active
    30  float OUT             0  joint.3.motor-offset
    30  float OUT      10.03293  joint.3.motor-pos-cmd ==> a4-pos-cmd
    30  float IN       10.03293  joint.3.motor-pos-fb <== a4-pos-fb
    30  bit   OUT         FALSE  joint.3.neg-hard-limit
    30  bit   IN          FALSE  joint.3.neg-lim-sw-in
    30  float OUT      10.03293  joint.3.pos-cmd
    30  float OUT      10.03293  joint.3.pos-fb
    30  bit   OUT         FALSE  joint.3.pos-hard-limit
    30  bit   IN          FALSE  joint.3.pos-lim-sw-in
    30  float OUT             0  joint.3.vel-cmd ==> a4-vel-cmd
    30  bit   OUT         FALSE  joint.3.wheel-jog-active
    30  float OUT             0  joint.4.acc-cmd
    30  bit   OUT          TRUE  joint.4.active
    30  bit   OUT         FALSE  joint.4.amp-enable-out ==> a5-enable
    30  bit   IN          FALSE  joint.4.amp-fault-in
    30  float OUT             0  joint.4.backlash-corr
    30  float OUT             0  joint.4.backlash-filt
    30  float OUT             0  joint.4.backlash-vel
    30  float OUT             0  joint.4.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.4.error
    30  float OUT             0  joint.4.f-error
    30  float OUT           0.5  joint.4.f-error-lim
    30  bit   OUT         FALSE  joint.4.f-errored
    30  bit   OUT         FALSE  joint.4.faulted
    30  float OUT             0  joint.4.free-pos-cmd
    30  bit   OUT         FALSE  joint.4.free-tp-enable
    30  float OUT             0  joint.4.free-vel-lim
    30  s32   OUT             0  joint.4.home-state
    30  bit   IN          FALSE  joint.4.home-sw-in
    30  bit   OUT         FALSE  joint.4.homed
    30  bit   OUT         FALSE  joint.4.homing
    30  bit   OUT          TRUE  joint.4.in-position
    30  bit   I/O         FALSE  joint.4.index-enable <=> a5-index-enable
    30  float IN              1  joint.4.jog-accel-fraction
    30  s32   IN              0  joint.4.jog-counts
    30  bit   IN          FALSE  joint.4.jog-enable
    30  float IN              0  joint.4.jog-scale
    30  bit   IN          FALSE  joint.4.jog-vel-mode
    30  bit   OUT         FALSE  joint.4.kb-jog-active
    30  float OUT             0  joint.4.motor-offset
    30  float OUT      -92.1569  joint.4.motor-pos-cmd ==> a5-pos-cmd
    30  float IN       -92.1569  joint.4.motor-pos-fb <== a5-pos-fb
    30  bit   OUT         FALSE  joint.4.neg-hard-limit
    30  bit   IN          FALSE  joint.4.neg-lim-sw-in
    30  float OUT      -92.1569  joint.4.pos-cmd
    30  float OUT      -92.1569  joint.4.pos-fb
    30  bit   OUT         FALSE  joint.4.pos-hard-limit
    30  bit   IN          FALSE  joint.4.pos-lim-sw-in
    30  float OUT             0  joint.4.vel-cmd ==> a5-vel-cmd
    30  bit   OUT         FALSE  joint.4.wheel-jog-active
    30  float OUT             0  joint.5.acc-cmd
    30  bit   OUT          TRUE  joint.5.active
    30  bit   OUT         FALSE  joint.5.amp-enable-out ==> a6-enable
    30  bit   IN          FALSE  joint.5.amp-fault-in
    30  float OUT             0  joint.5.backlash-corr
    30  float OUT             0  joint.5.backlash-filt
    30  float OUT             0  joint.5.backlash-vel
    30  float OUT             0  joint.5.coarse-pos-cmd
    30  bit   OUT         FALSE  joint.5.error
    30  float OUT             0  joint.5.f-error
    30  float OUT           0.5  joint.5.f-error-lim
    30  bit   OUT         FALSE  joint.5.f-errored
    30  bit   OUT         FALSE  joint.5.faulted
    30  float OUT             0  joint.5.free-pos-cmd
    30  bit   OUT         FALSE  joint.5.free-tp-enable
    30  float OUT             0  joint.5.free-vel-lim
    30  s32   OUT             0  joint.5.home-state
    30  bit   IN          FALSE  joint.5.home-sw-in
    30  bit   OUT         FALSE  joint.5.homed
    30  bit   OUT         FALSE  joint.5.homing
    30  bit   OUT          TRUE  joint.5.in-position
    30  bit   I/O         FALSE  joint.5.index-enable <=> a6-index-enable
    30  float IN              1  joint.5.jog-accel-fraction
    30  s32   IN              0  joint.5.jog-counts
    30  bit   IN          FALSE  joint.5.jog-enable
    30  float IN              0  joint.5.jog-scale
    30  bit   IN          FALSE  joint.5.jog-vel-mode
    30  bit   OUT         FALSE  joint.5.kb-jog-active
    30  float OUT             0  joint.5.motor-offset
    30  float OUT     -6.059483  joint.5.motor-pos-cmd ==> a6-pos-cmd
    30  float IN      -6.059483  joint.5.motor-pos-fb <== a6-pos-fb
    30  bit   OUT         FALSE  joint.5.neg-hard-limit
    30  bit   IN          FALSE  joint.5.neg-lim-sw-in
    30  float OUT     -6.059483  joint.5.pos-cmd
    30  float OUT     -6.059483  joint.5.pos-fb
    30  bit   OUT         FALSE  joint.5.pos-hard-limit
    30  bit   IN          FALSE  joint.5.pos-lim-sw-in
    30  float OUT             0  joint.5.vel-cmd ==> a6-vel-cmd
    30  bit   OUT         FALSE  joint.5.wheel-jog-active
    27  bit   OUT          TRUE  kinstype.is-0
    27  bit   OUT         FALSE  kinstype.is-1
    27  bit   OUT         FALSE  kinstype.is-2
    24  float OUT  2.718519e-43  lcec.0.Meca500.accel.x
    24  float OUT          -nan  lcec.0.Meca500.accel.y
    24  float OUT          -nan  lcec.0.Meca500.accel.z
    24  bit   IN          FALSE  lcec.0.Meca500.ctrl.activate
    24  bit   IN          FALSE  lcec.0.Meca500.ctrl.deactivate
